window,By,country,contact_email,contact_employer,patent_info,implementation,intellectual_property_type,keywords,market_prospect,cooperation_type,contact_person,contact_organization,contact_organization_type,description,published,region,secondary_field,technology_readiness_level,contact_phone,sector,title,meta_base_url,meta_organization,meta_category,meta_collected_date
2 Years,Ms Xiao,United States,Posy2000@163.com,CITTC,,,Not Provided,,,Others,Ms Xiao,University of Michigan Techtransfer,,"* Cancer therapy where clinical and genomic information are used in assessing an individual’s risk for disease, prevention and treatment
* Researchers from the University of Michigan collected normal tissue, primary diagnostic tumors and recurrent tumors from metastatic estrogen receptor α positive (ERα+) breast cancer patients that have undergone anti-estrogen and aromatase inhibitor therapy.
* Using DNA and RNA sequencing, several novel and acquired mutations in the ERα-ligand binding domain (LBD) were identified in tumors that survived or recurred post endocrine therapy.
* These novel ERα-LBD mutations may be used in the molecular profiling and further stratification of post endocrine therapy, recurrent breast cancer patients to identify individuals who may continue to benefit from anti-estrogen therapy.
* These mutations may serve as molecular targets in screening for drugs against metastatic breast cancer.",2015.02.26,,Diagnostics,Not Available,13331090928,Health Care,Estrogen Receptor Mutations,,CITTC,offer,11/09/2017 19:01:59
2 Years,Ms Xiao,United States,Posy2000@163.com,CITTC,,,Not Provided,,,Others,Ms Xiao,University of Michigan Techtransfer,,"* Epithelial Mesenchymal Transition (EMT) Based Prognostic Signature for Non-small Cell Lung Cancer Recent advances in proteomics and genome sequencing have revolutionized an era of cancer therapy where clinical, proteomic and genomic information are used in assessing an individual’s risk for disease, prevention and treatment. 
* Epithelial-mesenchymal transition (EMT) is a process where polarized epithelial cells lose cell-cell adhesion and cell polarity and acquire a motile and invasive phenotype that allows the cancer cells to migrate through the blood and lymphatic vessels to distant sites.",2015.02.26,,Diagnostics,Not Available,13331090928,Health Care,Epithelial Mesenchymal Transition (EMT) Based Prognostic Signature,,CITTC,offer,11/09/2017 19:01:59
2 Years,Ms Xiao,United States,Posy2000@163.com,CITTC,,,Not Provided,,,Others,Ms Xiao,University of Michigan Techtransfer,,"* A novel technology that utilizes the radical-mediated, step-growth, thiol–ene polymerization mechanism
* In conjunction with stress relaxation using network topology reconfiguration and molecular stress sensors to afford a polymeric resin",2015.02.26,,Diagnostics,Not Available,13331090928,Health Care,Smart Dental Composite,,CITTC,offer,11/09/2017 19:01:59
2 Years,Ms Xiao,United States,Posy2000@163.com,CITTC,,,Not Provided,,,Others,Ms Xiao,Tufts Tech Transfer,,"* Fiber optic intubating device that allows for visualization of anatomical structures on a handle-mounted LCD screen and flexibility in positioning within the oral cavity. 
* The new device has a stylet tip with a 360° range of motion that is controlled by a joystick, allowing for accurate positioning with a single finger.",2015.02.26,,Medical Devices,Not Available,13331090928,Health Care,Fiberoptic Intubating Device,,CITTC,offer,11/09/2017 19:01:59
2 Years,Ms Xiao,United States,Posy2000@163.com,CITTC,,,Not Provided,,,Others,Ms Xiao,Tufts Tech Transfer,,"* A new angioscopy-based method for the detection of lipid cores underneath thin fibrotic caps and thin-cap fibroatheromas in patients 
* Evaluated for risk of having vulnerable atherosclerotic plaques, thrombosis, and acute coronary syndrome.
* Software developed by the inventors allows for highly sensitive and specific detection of vulnerable plaques and plaques at risk of disruption during routine angioscopic procedures.",2015.02.26,,Diagnostics,Not Available,13331090928,Health Care,Software for Plaque Detection,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,"5,290,330",,Invention,"filter, airborne, pollutants, particles, health care",,Commercializaiton,Joe Kao,Johns Hopkins University Office of Technology Transfer,Colleges & Universities,"* Value Proposition
The invention relates to a device for filtering air comprising a filter housing having an air inlet for directing flow of air drawn into the housing from atmosphere and an air outlet for directing flow of air exhausted from the housing to atmosphere, the air drawn into the housing carrying air contaminants therewith. A plurality of cylindrical filter stacks having substantially parallel longitudinal axes are disposed in the housing. The filter stacks have outer cylindrical filter walls and inner passages extending therethrough along the longitudinal axes. The filter stacks are capable of filtering the air drawn into the housing by trapping the air contaminants in the filter walls when air is drawn through the filter walls into the inner passages. Finally, a blower is disposed within the filter housing for (1) drawing the air from atmosphere into the filter housing through the air inlet, (2) drawing the air through the filter walls into the inner passages to trap the air contaminants in the filter walls to thereby produce filtered air within the inner passages, and (3) exhausting the filtered air through the air outlet into the atmosphere.
* Technical Details
HEPA filters offer an advantage over other type of filter media in that the amount of airborne pollutants which can be effectively removed from the air is significantly increased. HEPA filters have been defined as filters capable of removing 99.97 percent of airborne particles of the size of 0.3 microns or larger. The filters are designed to maintain higher flow rates (between approximately 150 to 700 cubic feet per minute) than comparable filters, and it has been found that HEPA filters last for longer periods of time and, therefore, offer cost savings to the consumer. There is a particular need for HEPA filtration of airborne particulates in health-care facilities. Specifically, the risk of acquiring tuberculosis in a health-care environment is a function of a concentration of infectious droplet nuclei. This invention offers improved airflow which to circulate all the air within a room through the filter media as often as possible to insure continuous removal of infectious droplet nuclei.",2015.02.12,,Other,Not Available,0086 10 8348 7835,Health Care,HEPA Filtration System,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,,,Not Provided,"motor, armature, current, feedback, velocity",Medical Industry,Commercializaiton,Joe Kao,Johns Hopkins University Office of Technology Transfer,Colleges & Universities,"* Technical Details
An integrated chip for control of position/velocity and torque of DC motor is provided. The technique uses armature current feedback and on-chip position/velocity estimate from an incremental optical encoder to implement a closed loop mechanism that controls the motor. The chip is reconfigurable for different motor specifications.
* Looking for Partners
The chip is designed to provide high-performance feedback and control of small motors in space-constrained applications.",2015.02.12,,Medical Devices,Bench Scale,0086 10 8348 7835,Health Care,Adaptive and Reconfigurable Chip for DC Motor Control,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,,,Not Provided,"organic, eletronic, nanotechnology, electron, pi-conjugated",,Commercializaiton,Joe Kao,Johns Hopkins University Office of Technology Transfer,Colleges & Universities,"* Value Proposition
ADVANTAGES• Novel methods for the solubility of pi-conjugated organic electronic units
• Novel methods for the assembly of these molecules into defined one-dimensional nanostructures
• Soluble nanostructures for biological and medical integration uses
• Functional nanostructures with cell adhesion properties for use in 3-D hydrogels and scaffolds
• pi-conjugated organic electronic units for use as:
• implantable medical device
• in vivo biological sensor
• in vivo electronic conduit
• molecule to stimulate tissue regeneration
* Technical Details
BACKGROUND
Self-assembling supramolecular objects with pi-electron functionality are of increasing interest for nanotechnology and have many useful physic-chemical properties. The use of these molecules would be of enormous use for biological and medical applications; however, limitations exist due to poor water solubility and toxicity which is caused by current assembly processes.
TECHNOLOGY
JHU scientists have developed a method to solubilize pi-conjugated organic electronic units and a method to aide in the assembly of these units into one-dimensional nanostructures. This invention provides a solution to the severe aqueous insolubilities generally associated with the hydrophobic pi-conjugated organic electronic materials, while at the same time, offers a method to assemble the structures in aqueous environments without toxic effects.",2015.02.12,,Medical Devices,Not Available,0086 10 8348 7835,Health Care,Soluble Self-Assembling Peptides for Organic Electronics,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,WO 2011/072287,,Invention,"enzyme, antibiotics, chemical, carbapenem, health care",,Commercializaiton,Joe Kao,Johns Hopkins University Office of Technology Transfer,Colleges & Universities,"* Value Proposition• Regio- and stereospecific introduction of the (8R)-hydroxyl group late in a chemoenzymatic production process
• Simpler, more chemically robust starting materials can be used from the outset allowing more vigorous reaction conditions in subsequent steps
• Simpler, cheaper, and more robust routs of syntheses of carbapenem Beta-lactam antibiotics.
* Technical Details
Background
Carbapenem antibiotics are highly potent, broad spectrum compounds that are resistant to most Beta-lactamases. Their sales represent an estimated $15 billion in the US, and as a family they constitute more than 65% of the global antibiotic market. Commercially useful carbapenem Beta-lactam antibiotics are currently produced by a fully synthetic method which is complex and expensive.
Technology
JHU scientists have isolated, synthesized, and characterized enzymes that catalyze critical steps (introduction of the (8R)-hydroxyl group) in the synthesis of carbapenem Beta-lactam antibiotics. These enzymes are highly efficient, and provide for the development of simpler, cheaper, and more robust routes of syntheses for this class of compounds.
The invention enables introduction of the (8R)-hydroxyl group late in a chemo enzymatic production process of clinically-used carbapenem Beta-lactams antibiotics. Late introduction of this function means that simpler, more chemically robust starting materials can be used from the outset allowing more vigorous reaction conditions in subsequent steps and",2015.02.12,,Biotechnology,Not Available,0086 10 8348 7835,Health Care,Enzymes and Methods for Improved Syntheses of Carbapenem Beta-Lactam Antibiotics,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,,,Not Provided,"ultrasonic, imaging, system, tool, detection",,Commercializaiton,Joe Kao,Johns Hopkins University Office of Technology Transfer,Colleges & Universities,"* Value Proposition
Tool tracking/guidance is pivotal to determining operation success and guaranteeing clinical outcome. The proposed invention consists of modified tools that can be incorporated into most commercial ultrasonic imaging systems. Expensive ultrasound systems do not need to be replaced. A one-time addition of external electronics to the system coupled with tools containing the proposed enhancements is all that will be needed to make use of the proposed invention. The proposed invention solves this problem by creating an “active reflection” imaging system in which modified interventional tools are used.
Technical Details
Johns Hopkins researchers have developed an imaging system in which modified interventional tools are used. The tools are modified so that the relevant portions of the tools contain a device that can detect the ultrasonic field and emit an ultrasonic pulse. Detection of the ultrasonic field is relayed to external electronics, which interpret the field signal and transmit a signal back to the probe, telling it to emit one or more ultrasonic pulses. When integrated with a commercial ultrasound system, this strength may be used to determine probe location in when viewed in the ultrasonic system. Multiple pulse emitters on the modified tools can be used to determine orientation of the device with most conventional ultrasound systems.",2015.02.12,,Imaging,Under Development,0086 10 8348 7835,Health Care,Closed-Loop Ultrasound Imaging System,,CITTC,offer,11/09/2017 19:01:59
