meta_base_url,title,sector,published,window,country,description,secondary_field,keywords,cooperation_type,contact_organization,contact_organization_type,contact_person,contact_employer,contact_email,contact_phone,meta_organization,meta_category,meta_collected_date
http://www.cittc.net/anonym/demandDetail/937,Introduction of International Cooperation Demand,Life Sciences and New Energy,2014.11.01,2 Years,China,"Introduction of International Cooperation Demand: 
1. The Department has accumulated rich experience in brown coal’s drying and quality improvement technologies, coal slime drying and utilization technologies, 50~300MW CFB boiler design, CFB boiler internal antifriction technologies, optimization and adjustment of CFB boiler operation, design and reform of CFB boiler lime transport system, design and reform of CFB boiler’s SNCR denitration system, design and reform of CFB boiler’s cold slag system, experiment, startup and adjustment of CFB boiler’s performance experiment and could provide plan design, technical support and mature products for relevant projects home and abroad. 
2. The Department has carried out a large amount of experiment and research work regarding comprehensive use of high-sodium coal in Huaidong region of China and hopes to work jointly with international organisms depending on relevant research experience to solve difficulties regarding domestic use of high-sodium coal.",Biomass,,Other Mode,China Huaneng Group Clean Energy Technology Research Institute,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/936,The demand for international cooperation,Life Sciences and New Energy,2014.11.01,2 Years,China,The demand for international cooperation: seeking international cooperation on technology or product R&D.,Biomass,,Other Mode,Beijing Pride Power System Technology Limited (Toshiba),Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/935,The demand for international cooperation,Life Sciences and New Energy,2014.11.01,2 Years,China,seeking international cooperation on technology or product R&D.,Biomass,,Other Mode,Beijing Pride Power System Technology Limited (Dow),Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/929,LED electronic intelligent dimming ballast energy saver,Electronics,2014.11.01,2 Years,China,"Name: LED electronic intelligent dimming ballast energy saver. Specific description of technical problems and demands:
1. External casing material of LED, especially the selection of external casing material of LED street lamp is a technical bottleneck. 
2. Coating of external casing of LED, thermal analysis and thermal radiation are the technical bottleneck (Ideally, surface temperature of LED street lamp is controlled at 55±2℃);
3. LED driving power, it should be intelligent dimming to adjust light according to time, namely, to save energy and reduce consumption.",Electronic Manufacturing,,Other Mode,"Zhejiang Fuguang Lighting Technology co.,ltd",Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/928,"Production, leak detection and technology of precise filter and equipment.",Electronics,2014.11.01,2 Years,China,"Name: Production, leak detection and technology of precise filter and equipment. Specific description of technical problems and demands:
In the production of precise filter and equipment, the filter should have leak hunting to ensure the quality and prevent liquid leakage. The method of filter leak detection is divided into two kinds: gas detection and water detection. But the accuracy of gas detection is not high and can not detect micro leak. Some gas detection equipment has high accuracy but can not use for a long time, which is not beneficial for the mass production. While water detection has high accuracy and short time, but the production should be dried after water detection. So a technique and equipment with fast speed and high accuracy are needed to meet the demand of mass production. 
Required parameters: Time of lead detection is within 2 seconds, precision 99.9%, without drying, meet the requirement of mass production.",Electronic Manufacturing,,Other Mode,"ZHEJIANG FERT MEDICAL TREATMENT APPARATUS CO., LTD.",Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/926,The prevention and treatment of white prawn red body disease,Agriculture,2014.11.01,2 Years,China,"Name: The prevention and treatment of white prawn red body disease 
Specific content Specific description of technical problems and requirements:
Red body disease is also called Taura syndrome (TAURA), caused by Taura virus. There are such rules for its outbreak: 1. the temperature rises or decreases suddenly, 2. the time of disease outbreak is 30-60 days. The ill shrimp will not have food and have no food in digestive tract, swim weakly, unresponsive and soft carapace, read trail and young shrip(0.05～5g) is severely ill, mortality high up to 80%. The survivors have black spot, i.e., shrimp shell horn has blackening focus. 
The method to prevent and cure red body disease should be provided.",Bio-agriculture,,Other Mode,Zhejiang Lianxing Feed Science and Technology Limited Company,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/925,Design and R&D of reducing energy consumption of thermal field of silicon single crystal furnace.,Building Construction,2014.11.01,2 Years,China,Name of technical problems: Design and R&D of reducing energy consumption of thermal field  of silicon single crystal furnace.,Energy Efficiency Building,,Other Mode,"Zhejiang Sunology Co., Ltd.",Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/924,Solar water heating system of fission bearing integrating with building.,Life Sciences and New Energy,2014.11.01,2 Years,China,Name of technical problems: Solar water heating system of fission bearing integrating with building.,Biomass,,Other Mode,Zhejiang Sangle Digital Solar Energy Limited Company,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/923,Low fishmeal and white prawn feed.,Agriculture,2014.11.01,2 Years,China,Name of technical problems: Low fishmeal and white prawn feed.,Bio-agriculture,,Other Mode,Zhejiang Qunda Feed Company Limited,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/922,Use of 100% recycling liquid plus 70% recycling gravel sand.,IT,2014.11.01,2 Years,China,Name of technical problems: Use of 100% recycling liquid plus 70% recycling gravel sand.,Next Generation Internet,,Other Mode,"Zhejiang HaoYa Energy Sources Technology Co., Ltd",Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
