,document_url,keywords,region,sector,title,date_posted,country,project_type,seeking_support,meta_organization,meta_category,meta_collected_date,meta_base_url
0,http://unfccc.int/ttclear/gnwoerk_cms/TTF_TEI/attachments/file:MongoliaTAPM1.pdf,"alternative energies, alternative power, Asia and the Pacific, energy, hydroelectricity, Mongolia, renewable energies, renewable energy systems, water power",Asia and the Pacific,Energy,Large scale hydropower plant, 2013,Mongolia,Technology Action Plan,True,unfccc,climate_tech_project,2017-11-07 19:47:58.414212,http://unfccc.int/ttclear/
1,http://unfccc.int/ttclear/gnwoerk_cms/TTF_TEI/attachments/file:MongoliaTAPM2.pdf,"alternative energies, alternative power, Asia and the Pacific, electricity grids, energy, international development, Mongolia, projects, renewable energies, renewable energy systems, wind",Asia and the Pacific,Energy,Wind park, 2013,Mongolia,Technology Action Plan,True,unfccc,climate_tech_project,2017-11-07 19:47:58.414212,http://unfccc.int/ttclear/
2,http://unfccc.int/ttclear/gnwoerk_cms/TTF_TEI/attachments/file:MongoliaTAPM3.pdf,"Asia and the Pacific, coal powered, energy, energy efficiency, Coal fueled, international development, Mongolia",Asia and the Pacific,Energy,Pulverized coal combustion technologies (super-critical), 2013,Mongolia,Technology Action Plan,True,unfccc,climate_tech_project,2017-11-07 19:47:58.414212,http://unfccc.int/ttclear/
3,http://unfccc.int/ttclear/gnwoerk_cms/TTF_TEI/attachments/file:MongoliaTAPM4.pdf,"Asia and the Pacific, conservation laws, electric power generation, energy, energy conservation, energy efficiency, implementation, lighting, Mongolia",Asia and the Pacific,Energy,Efficient lighting, 2013,Mongolia,Technology Action Plan,True,unfccc,climate_tech_project,2017-11-07 19:47:58.414212,http://unfccc.int/ttclear/
4,http://unfccc.int/ttclear/gnwoerk_cms/TTF_TEI/attachments/file:MongoliaTAPM5.pdf,"Asia and the Pacific, building types, energy, energy efficiency, global climate, Mongolia, thermal insulation",Asia and the Pacific,Energy,Improved insulation of panel apartment buildings, 2013,Mongolia,Technology Action Plan,True,unfccc,climate_tech_project,2017-11-07 19:47:58.414212,http://unfccc.int/ttclear/
5,http://unfccc.int/ttclear/gnwoerk_cms/TTF_TEI/attachments/file:MongoliaTAPA1.pdf,"adaptation, agriculture / forestry / land use, Asia and the Pacific, crops, global climate, industry, international development, Mongolia",Asia and the Pacific,Agriculture / Forestry / Land-use,System of wheat intensification, 2013,Mongolia,Technology Action Plan,True,unfccc,climate_tech_project,2017-11-07 19:47:58.414212,http://unfccc.int/ttclear/
6,http://unfccc.int/ttclear/gnwoerk_cms/TTF_TEI/attachments/file:MongoliaTAPA2.pdf,"agriculture / forestry / land use, Asia and the Pacific, economic cost, global climate, international development, irrigated agriculture, irrigation, Mongolia, water, water resources",Asia and the Pacific,Agriculture / Forestry / Land-use,Vegetable production system, 2013,Mongolia,Technology Action Plan,True,unfccc,climate_tech_project,2017-11-07 19:47:58.414212,http://unfccc.int/ttclear/
7,http://unfccc.int/ttclear/gnwoerk_cms/TTF_tei/attachments/file:Cuba1.pdf,"Cuba, efficient construction of buildings, energy, energy policies, financial barriers, gas turbines, international development, Latin America and the Caribbean, mitigation, NAMA, nationally appropriate mitigation actions, natural gas, sustainable development, transport",Latin America and the Caribbean,Energy,Combined gas cycle power plant, 2013,Cuba,Project Idea,True,unfccc,climate_tech_project,2017-11-07 19:47:58.414212,http://unfccc.int/ttclear/
8,http://unfccc.int/ttclear/gnwoerk_cms/TTF_TEI/attachments/file:MongoliaTAPA3.pdf,"agriculture / forestry / land use, Asia and the Pacific, global climate, Mongolia ",Asia and the Pacific,Agriculture / Forestry / Land-use,Potato seed production system, 2013,Mongolia,Technology Action Plan,True,unfccc,climate_tech_project,2017-11-07 19:47:58.414212,http://unfccc.int/ttclear/
9,http://unfccc.int/ttclear/gnwoerk_cms/TTF_tei/attachments/file:Cuba2.pdf,"Cuba, electricity generation, forestry, gasification, industry, international development, Latin America and the Caribbean, waste, wood fuel, woody biomass",Latin America and the Caribbean,Energy,Gasification of sawmill residuals, 2013,Cuba,Project Idea,True,unfccc,climate_tech_project,2017-11-07 19:47:58.414212,http://unfccc.int/ttclear/
