keywords,region,sector,document_url,country,date_posted,project_type,title,summary,seeking_support,meta_organization,meta_category,meta_collected_date,meta_base_url
"alternative energies, alternative power, asia and the pacific, energy, hydroelectricity, mongolia, renewable energies, renewable energy systems, water power",Asia and the Pacific,Energy,http://unfccc.int/ttclear/gnwoerk_cms/TTF_TEI/attachments/file:MongoliaTAPM1.pdf,Mongolia, 2013,Technology Action Plan,Large scale hydropower plant,"Technology Action Plan Section iii. lake, river or reservoir to a remote powerhouse containing the turbine and generator. Pumped storage schemes involve two reservoirs. At times of low demand and usually low electricity prices (often at night); electricity is used to pump water from the lower to an upper basin. Then the ward stored in the upper basin is used for electricity generation in times of high electricity prices or electricity shortage. GHG emissions are expected to be reduced by 1.458.000 tCO2eq/year from the construction of 300 MW Hydropower plant in Mongolia. Large scale Hydropower plants will give following economic, environmental, and social benefits: • Improved operational conditions of the Central Energy system; • Reduced electricity imports; • Improved energy regime of the Central Grid during peak load; Introduction of the technology has the potential to reduce coal consumption; • Reduced air pollution: the technology does not emit any local air pollutants, such as NOX, CO or particulate matter, thereby helping to improve air quality. • 1.2.2  Target for technology transfer and diffusion The National renewable energy program approved by parliament in 2005 indicates: “Gradually implement goal of increasing the share of renewable energy in the total energy production and reaching 3-5 percent in the national energy by the year 2010, 20- 25 percent share by 2020”. But the target for 2010 has not been achieved.  As of 2011, the share of renewable energy in total electricity production is 1.11%. In the future, the electricity generation will increase gradually and reach 7800 million kWh in 2020. In order to reach the 20% target, the electricity generation from renewable energy sources should reach 1950 million kWh (Table61). energy sectors shall be designed in consistent with environmental and green development principles. The government should establish an energy research institute under the Ministry of Energy.   Cooperation between the Ministry of Energy and otherrelevant Governmental institutions should be enhanced. Cooperation withother actors such as NGOs, donor organisations, and private actors should alsobe improved 1.2 The Action Plan for Large Scale Hydropower Plant 1.2.1  Description of the technology Hydropower plants capture the energy released by water falling through a turbine and convert this into mechanical power, which drives generators to produce electricity. About 20% of globally supplied electricity is generated by hydropower and in some countries it provides more than 50% of electricity supply. Hydropower can achieve significant GHG emission reductions as it, depending on the energy mix of the country concerned, could Hydropower is a fully commercial, and well- replace fossil based technologies for electricity production established mature technology, although developing more cost-effective technologies there is scope for further improvement in for small-capacity and low-head applications. efficiency and costs and, in particular, for Hydropower can provide a very flexible source being used as a storage system. Hydro’s quick- of renewable energy, capable of delivering base load power, meeting peak demand, or start capability helps to cope with fluctuations in supply or demand. Production can be put at risk, however, when drought limits the supply of water within a catchment area, and annual hydro production in many markets",True,unfccc,climate_tech_project,2017-11-17 14:56:38.838693,http://unfccc.int/ttclear/
"alternative energies, alternative power, asia and the pacific, electricity grids, energy, international development, mongolia, projects, renewable energies, renewable energy systems, wind",Asia and the Pacific,Energy,http://unfccc.int/ttclear/gnwoerk_cms/TTF_TEI/attachments/file:MongoliaTAPM2.pdf,Mongolia, 2013,Technology Action Plan,Wind park,"Technology Needs Assessment for Climate Change Mitigation in Mongolia 1.3   Action Plan for Wind Park 1.3.1  Description of the technology Wind power is a proven and mature renewable energy technology that is being deployed globally on a mass scale. Wind turbines extract kinetic energy from moving air flow (wind) and convert it into electricity via an aerodynamic rotor, which is connected by a transmission system to an electric generator. Today’s standard turbine has three blades rotating on a horizontal axis, upwind of the generator connected to the grid. Two-blade and direct-drive (without a gearbox) turbines tower, with a synchronous or asynchronous are also available. The electricity output of a turbine is roughly proportional to the rotor area; therefore, fewer, larger rotors (on taller towers) can wind turbines today are 5-6 MW units, with use the wind resource more efficiently than more numerous, smaller turbines. The largest a rotor diameter of up to 126 metres. Typical commercial wind turbines have a capacity between 1.5 MW and 3 MW. Turbines have doubled in size approximately every five years, but a slowdown in this rate is likely for onshore turbines, due to transport, Wind power is among the most cost-competitive weight and installation constraints. renewable energy sources in areas where the wind resource is good. The Construction of Wins Parks in Mongolia will give following economic, environmental, and social benefits: • The electricity supply of Mongolia will improve; • Coal consumption will be reduced; • Air pollution will be reduced 1.3.2  Target for technology transfer and diffusion In order to implement the target of the National Renewable Energy Program, the Energy Regulatory Committee has given licenses to 5 private companies for constructing wind parks with total capacity 354.4 MW (Table 65). The expected annual electricity generation of these wind parks will be 708 million kWh.  The share of electricity generation from wind will reach 9.1 % if these projects are successfully implemented. The preliminary target for technology transfer and diffusion of Wind Park is to construct wind parks with total capacity 354.4 MW in 2020 in order to implement renewable energy national action program by generating electricity 708 million kWh annually from wind parks. Table 65: Wind Park projects to be implemented up to 2020 Company name WP Capacity, mW WP location (aimag and soum) Permission from energy ministry (Date and number) license from Energy Regulatory Committee (Date and term)    “Glean Energy” 50 Tuv, Sergelen 2007-03-02, a/304 “Glean tech” 250 “Sainshand wind park” “AB solar and wind” 52 100 “Idiner global”    50.4 Umnugovi, khanbogd Dornogovi, Sainshand Dornogovi, Dalanjargalan Govisumber, Sumber 2008-10-13, a/82 2010-11-01, a/3418 2008-10-13, a/81 2011-11-18 a/4059 2007-03-27, 5 years 2012, 1 year 2008-12-18, 5 years 2011-03-19, 5 years 2011-11-22, 5 years 2011-12-13, 5 years Remark To be connect  to central grid 102 MW to be connected to central grid, 148 Mw to export to China To be connect  to central grid To be connect  to central grid To be connect  to central grid 174 Technology Action Plan Section iii. 1.3.3  Barriers to the technology’s diffusion Table 66: Barriers to the technology’s diffusion key barriers identified Category Barriers Enabling measures High Capital cost More financial mechanisms other than foreign direct investment shall be made available to finance the upfront investment cost for wind parks",True,unfccc,climate_tech_project,2017-11-17 14:56:38.838693,http://unfccc.int/ttclear/
"asia and the pacific, coal powered, energy, energy efficiency, coal fueled, international development, mongolia",Asia and the Pacific,Energy,http://unfccc.int/ttclear/gnwoerk_cms/TTF_TEI/attachments/file:MongoliaTAPM3.pdf,Mongolia, 2013,Technology Action Plan,Pulverized coal combustion technologies (super-critical),"Technology Action Plan Section iii. 1.4  Action Plan for Pulverized coal combustion technologies (Super-critical) 1.4.1  Description of the technology Pulverized coal power plants account for around 97% of the world’s coal-fired electricity generation capacity. The conventional types of this technology have an efficiency of around 35%. For a higher efficiency supercritical and ultra-supercritical coal-fired technologies have been developed. These technologies can combust pulverized coal and produce steam at higher temperatures and under a higher pressure, so that an efficiency level of 45% can be achieved (ultra-supercritical plants). Supercritical and ultra-supercritical plants are more expensive because of the higher requirements to the steel forwithstanding the higher pressure and temperature, but the higher efficiency results in cost savings during the technical lifetime of the plants. The emissions of CO2 per MWh delivered to the grid could be reduced from 830 kg to 730 kg. Pulverized coal power plants can have a size of up to 1000 MW and are commercially available worldwide.The capital costs assumed range from 800 US$/kW to 1350 US$/kW from the largest 1000 MW USC plant to the smallest to unit of 150 MW CFBC plant. The plant’s own use of electricity has been estimated to range from 6% to 9% and the plant efficiencies is in the range from 45% to 34%, respectively from largest unit to the smallest. In coming years several Thermal Electric Power Stations will be built with significant capacity near coal mines in Mongolia. For all the Coal fired power plants to be constructed in Mongolia should be implemented supercritical (SC) and ultra-super critical USC) technologies. An efficiency improvement from 30 to 45% would bring about a 33% decrease in CO2 emissions. As two-thirds of all coal-fired plants are over 20 years old with an average efficiency rate below 30%, replacing this capacity with supercritical and ultra-supercritical plants could contribute significantly to global GHG emission reductions Supercritical power plants are highly efficient plants with the best available pollution control technology; they reduce pollution levels by burning less coal per megawatt-hour produced and capturing the vast majority of the pollutants. Introduction of the Pulverized coal power plants has the potential to reduce fuel consumption of existing thermal power plants by 25-30 %. Because of the above techno-economic benefits, along with its environmentally- friendly cleaner technology, more and new power plants are being developed with this state-of-the-art technology. As environmental legislation is becoming more stringent, adopting this cleaner technology has led to benefits in all respect. As LHV (lower heating value) is improved (from 40% to more than 45%); a one percent increase in efficiency reduces specific emissions such as CO2, NOX, SOX and particulate matter by two percent. 1.4.2  Target for technology transfer and diffusion Coal is the primary energy source in Mongolia. The share of coal and coal products in total primary energy supply is about 70%. Coal is expected to remain the most important primary energy source in the foreseeable future because of the large coal reserves in Mongolia and the much smaller reserves of oil and gas.",True,unfccc,climate_tech_project,2017-11-17 14:56:38.838693,http://unfccc.int/ttclear/
"asia and the pacific, conservation laws, electric power generation, energy, energy conservation, energy efficiency, implementation, lighting, mongolia",Asia and the Pacific,Energy,http://unfccc.int/ttclear/gnwoerk_cms/TTF_TEI/attachments/file:MongoliaTAPM4.pdf,Mongolia, 2013,Technology Action Plan,Efficient lighting,"Technology Action Plan Section iii. 2.2  Action Plan for Efficient lighting 2.2.1  Description of the technology Compact Fluorescent Lamp (CFL) technology provides an energy efficient lighting service through using a compact fluorescent light bulb to replace the normal incandescent light bulb (ILB). Still, there is different sorts of CFLs,  from ordinary incandescent tungsten filament bulbs to Tungsten Halogen, Halogen infrared reflecting, Mercury vapor lamps, Compact fluorescent lamps, linear fluorescent, metal halide, compact metal halide, high pressure sodium (High Intensity Discharge lamp) and Light Emitting Diodes. The higher up-front cost could be a barrier for their implementation, but calculations show that CFLs pay back the initial investment within 900 hours of operation and also contribute to a reduction in the electricity bill over the lifetime of the bulb. The savings can be in the order of 10-20 times the initial cost over the life of the bulb (http://climatetechwiki.org/ technology/cfl). Significant energy savings will help to free up energy resources that can be spent on other national, social and human development goals.   The lighting service improvement technology can reduce electricity generation in power plants and save a significant amount of fossil fuels for electricity generation and for transport of coal from coal mines to power plants. The lighting service improvement technology can reduce air pollution in big cities.  2.2.2  Target for technology transfer and diffusion The efficiency of electricity use in the residential and commercial sector is still low.  Oneprioritized technology for the residential and commercial sector is promoting the use of energy-efficient compact fluorescent lamps (CFL) to replace inefficient incandescent light bulbs (ILB).  CFLs provide the same level of illumination as an incandescent lamp but use roughly 70% less electricity. Although CFLs are more expensive than ILBs, they are more economical on a life-cycle basis due to savings in electricity costs.  Currently, most households and about 30% of service and commercial buildings use incandescent bulb lamps and the rest use fluorescent bulbs The first phase implementation plan of the National Action Program on Climate Change approved by the government committed to limit incandescent light bulb usage during the period 2012-2016. The Mongolia Nationally Appropriated Mitigation Actions (NAMA) to the UNFCCC secretariat also includes measures such as lighting efficiency in buildings. After stakeholder consultation, it is assumed that by 2020, 60% of the households in Ulaanbaatar will be supplied by CFLs as the preliminary target of efficient lighting technology transfer and diffusion.        189 Technology Needs Assessment for Climate Change Mitigation in Mongolia 2.2.3  Barriers to the technology’s diffusion Table 74 : Barriers to the technology’s diffusion Key barriers identified Category Barriers Enabling measures Economic and financial Inappropriate financial incentives It is important to increase electricity tariffs and implement measures to eliminate the outdated technology in the market. The Government should continue the planned energy pricing reform. The tariff level should be high enough to cover the electricity supply cost and the cross subsidies should be removed. High capital cost The Government should examine the possibilities of introducing tax incentives for energy efficiency projects.The Government should",True,unfccc,climate_tech_project,2017-11-17 14:56:38.838693,http://unfccc.int/ttclear/
"asia and the pacific, building types, energy, energy efficiency, global climate, mongolia, thermal insulation",Asia and the Pacific,Energy,http://unfccc.int/ttclear/gnwoerk_cms/TTF_TEI/attachments/file:MongoliaTAPM5.pdf,Mongolia, 2013,Technology Action Plan,Improved insulation of panel apartment buildings,"Technology Needs Assessment for Climate Change Mitigation in Mongolia 2.3.2  Target for technology transfer and diffusion The majority of the apartment buildings in UlaanBaatar was constructed in the 1970s, 1980s and early 1990s and is in a poor state, without systematic professional maintenance and repairs. The energy efficiency in centrally and district heated buildings leaves room for technical and managerial improvement. Per square meter heat consumption of the buildings is about five times higher than the modern buildings in Europe. This to some extent is because of the very cold climate in Mongolia, but the main reason is poor technology and a lack of incentives to save energy. A recent study (Mongolia: NAMA) on heat losses concluded that nearly 40% of the heat is lost in houses and buildings. The heat losses occur through windows, walls and doors: the design and construction of old apartment buildings in bigger cities are very similar to the buildings found in many places of the former Soviet Union. A study onlocal building standards indicated that heat demand in multi-family buildings could be reduced by about 60%.(BEEP Report) There are around 500 panel apartment buildings which house around 200,000 people or around 20% of the population of Ulaanbaatar. The first phase the implementation plan of the National Action Program on Climate Change approved by the government mentions the insulation of existing buildings with high heat losses during the period 2012-2016. Mongolia’s Nationally Appropriated Mitigation Actions (NAMAs) submitted to the UNFCCC secretariat also include building energy efficiency improvement measures such as the improvement of insulation in existing buildings. After stakeholder consultation it is assumed that 300 existing panel apartment buildings will be insulated by 2020 as general target of building insulation technology transfer and diffusion.              2.3  Action Plan for Improved insulation of panel apartment buildings 2.3.1  Description of the technology Buildings constructed during the socialist period are still in use in large numbers. In central city areas they may be replaced by private developers with newer/larger buildings, but elsewhere thesocialist period buildings are likely to remain in use for decades to come. These buildings have minimal levels of insulation and need to be retrofitted with extra (generally external) wall insulation and modern lower heat loss windows to replace old twin openable wooden windows. These existing buildings are not fitted with heat meters, nor do tenants have user-adjustable heat output controls on their radiators, nor can automatic temperature control thermostatic radiator valves (TRV) be fitted due to the single pipe vertical heating pipe layouts used. Therefore, for these existing socialist period buildings, a key barrier is that building owners and tenants have nomeans to control their heat use except by opening their windows and venting excessive heat to the outside, nor do they have any incentive to carry out expensive retrofitting insulation or modern insulating and air-tight windows. Given the low income level of most occupants of existing apartment buildings, it is not realistic to expect any future building control",True,unfccc,climate_tech_project,2017-11-17 14:56:38.838693,http://unfccc.int/ttclear/
"adaptation, agriculture / forestry / land use, asia and the pacific, crops, global climate, industry, international development, mongolia",Asia and the Pacific,Agriculture / Forestry / Land-use,http://unfccc.int/ttclear/gnwoerk_cms/TTF_TEI/attachments/file:MongoliaTAPA1.pdf,Mongolia, 2013,Technology Action Plan,System of wheat intensification,"Technology Needs Assessment for Climate Change Adaptation in Mongolia 1.2 Action Plan for System of Wheat Intensification 1.2.1 About SWI Wheat flour is a major staple food for Mongolians. During the transition period of 1990-2000, the wheat system struggled to survive due to financial and management issues. As a result of government investment in recent years, Mongolia was able to increase its total wheat production and meet grain demand for the past two years. However, there is an urgent need for adaptation technologies in wheat production system to minimize potential losses in wheat production, because future climate change impacts and environment degradation can hinder the development of sustainable and resilient wheat production systems. SWI consists of conservation tillage and holistic plant management, with an emphasis on wheat root management to achieve economically, ecologically and socially sustainable agricultural production. Conservation tillage ensures permanent soil cover and minimal soil disturbance, slow water flow, reduces the amount of soil erosion. In the pilot project on conservation tillage in Mongolia, tillage operations were significantly reduced for cropping (Silke H and others, 2006). Holistic plant management consists of nutrient and water management, root treatments, and crop rotation. Crop rotation is the practice of growing a series of dissimilar types of crops on the same piece of land in sequential seasons. Crop rotation can generate various benefits to the soil and eliminates the build-up of pathogens and pests that often occur when the same species is continuously planted on the same piece of land for multiple years. It can also improve soil structure and fertility by alternating deep-rooted and shallow-rooted plants. In the 1980s, several experiments on crop rotations were conducted in Mongolia using different combinations and rotations of crops including fallow, wheat, oats, barley and peas. But the experiment did not continue during the transition period from 1990-2010. Today more research and experiments in crop rotations are needed. Incorporation of livestock in crop rotation cycles is possible when forage plants are planted. But in Mongolia crop farms do not have the appropriate knowledge and skills for crop rotation, including seeds of legume varieties which can grow well and produce high yield under the Mongolian soil and climate conditions. More research on rotation systems in irrigated planting has only started recently in Mongolia. SWI through conservation tillage and holistic plant management is a technically viable alternative to the current crop production practices in Mongolia and provides prospects for future sustainability. 1.2.2 Targets for SWI System of wheat intensification will target at least 80% of the grain producers who are permanent farmers dealing with grain production. The technology transfer and diffusion will require at least 8-9 years and will be completed by 2021. By 2021, about 300 thousand ha (60% of the total) of crop land will be farmed by conservation tillage and rotation system of SWI technology. The full deployment of this technology will ensure national grain security and environment benefits. 1.2.3 Barriers to SWI Economic and financial and non-financial key barriers were identified with key experts and stakeholders. 182 SECTION III Barrier sub/ category Economic and financial Non-financial Technology",True,unfccc,climate_tech_project,2017-11-17 14:56:38.838693,http://unfccc.int/ttclear/
"agriculture / forestry / land use, asia and the pacific, economic cost, global climate, international development, irrigated agriculture, irrigation, mongolia, water, water resources",Asia and the Pacific,Agriculture / Forestry / Land-use,http://unfccc.int/ttclear/gnwoerk_cms/TTF_TEI/attachments/file:MongoliaTAPA2.pdf,Mongolia, 2013,Technology Action Plan,Vegetable production system,"SECTION III Technology Action Plans 1.3 Action Plan for Vegetable production system 1.3.1 About VPS Vegetable production system with drip irrigation and mulches (VPS) aims to intensify vegetable production through a set of water saving techniques such as drip irrigation, low cost greenhouses or mulch. Drip irrigation is not only related to irrigation regime and techniques, it also includes fertilizer, pesticide and soil management and their proper application. Mulch is a product used to suppress weeds and conserve water in crop production and landscaping. As a whole system, the technology increases farming efficiency and other benefits to farmers. Mongolia is experiencing water shortages and an increasingly dry climate due to climate change. Therefore, drip irrigation with plastic mulch can reduce water consumption, decrease labour intensity and increase production. Vegetable and other crops such as water melon, cucumber, tomato, and peppers can be planted in plastic mulch. Drip irrigation is based on the constant application of a specific quantity of water to soil crops.  There is wide range of drip irrigation systems. However, locally suitable system for specific crop needs to be developed. VPS can support farmers to adapt to climate change by allowing efficient use of water. This particularly useful in areas subject to climate change impacts (such as seasonal droughts), since VPS reduces demand for water and water evaporation losses (as evaporation increases at higher temperatures). Furthermore, fertilizer application is more efficient since it can be applied directly through the pipes and reach plant roots. Mongolia has been piloting drip irrigation systems since 1997 and the suitability of this technology has been confirmed. The pilot projects demonstrated suitability and applicability for growing vegetables, berries and bushes in Mongolia. Currently, plastic mulches are used by a small number of Mongolian farmers to grow crops such as peppers, water melon cucumber and tomato. Drip irrigation systems help farmers reduce water consumption for the production of vegetables and berries. Initial cost of equipment is high, however operating cost of irrigation can be lowered due to water saving. Small farms and families can use several small scale drip irrigation systems which each of them can be set up for 0.5 ha. Because of cold winter, irrigation equipment and mulches need to be stored inside storing facilities in winter. The storage space requirement is not big, so it can be solved by farmers and households. 1.3.2 Targets for VPS Today farmers grow vegetables other than potato on about 8 000 ha of land. Presently, 11.8 percent of crop land is irrigated in the country. However, drip irrigation has been applied on only 100ha of arable land with support of international projects. Noticeably, water shortage due to climate change is becoming a significant challenge in all sectors, including agriculture. Wide application of drip irrigation would play a vital role in agricultural production, saving water and improvement of nutrition for the elderly, children and mothers. VPS technology will be applied for vegetable farmers and aims to target at least 50% of farm land depending on availability of water resources and electricity for",True,unfccc,climate_tech_project,2017-11-17 14:56:38.838693,http://unfccc.int/ttclear/
"cuba, efficient construction of buildings, energy, energy policies, financial barriers, gas turbines, international development, latin america and the caribbean, mitigation, nama, nationally appropriate mitigation actions, natural gas, sustainable development, transport",Latin America and the Caribbean,Energy,http://unfccc.int/ttclear/gnwoerk_cms/TTF_tei/attachments/file:Cuba1.pdf,Cuba, 2013,Project Idea,Combined gas cycle power plant,"Evaluación de Necesidades Tecnológicas – Mitigación                                                    Cuba 1 5 . TEMA S TRAN SVER SALE S En las acciones habilitantes de la categoría de barreras económicas y financieras son temas transversales para las 3 tecnologías en los 3 subsectores la necesidad de realizar estudios de posibles acciones de mitigación (NAMA* u otros) y la necesidad de disponer de inversión extranjera directa. Por su parte, en las acciones habilitantes relacionadas con fallos/imperfecciones en el mercado, políticas, legales y regulatorias son transversales el completamiento del marco regulatorio y la elaboración de una política energética. En fallos en la red y capacidad institucional y organizativa son transversales la interacción entre las instituciones y la creación y/o revitalización de la industria nacional. Es común la necesidad de acciones de capacitación del personal de operación y mantenimiento de las nuevas tecnologías. Finalmente es transversal la necesidad de garantizar las piezas de repuesto de las nuevas tecnologías durante su vida útil.  1 6 . IDEA S DE PROYEC TO SE CTOR ENERG ÍA 1 6 . 1 . ID EA DE PROYEC TO C IC LO COM B INADO CON GA S 1 6 . 1 . 1 . I n t r o d u c c i ó n y a n t e c e d e n t e s Una central de ciclo combinado de gas natural es una planta de producción de energía eléctrica que combina dos procesos o ciclos para obtener el máximo rendimiento: el ciclo de Brayton, en el que los gases de combustión accionan directamente una turbina de gas, y el ciclo Rankine, en el que se aprovecha la energía residual de los gases de escape de la turbina de gas para generar vapor en una caldera, que accionará a su vez una turbina de vapor. Ambas máquinas (turbina de gas y de vapor) accionan un alternador donde se transforma la energía mecánica en eléctrica. La combinación de estos dos procesos permite que este tipo de centrales tenga una eficiencia energética muy superior, que en el caso de Cuba es de 43%, que es al menos 10% mayor al de una termoeléctrica convencional, posee costos de Operación y Mantenimiento (O&M) menores y el costo de inversión es el más bajo de todas las tecnologías convencionales. Además, tiene un factor de emisión de CO2 38% menor al de una central termoeléctrica con fuel oíl.  1 6 . 1 . 2 . O b j e t i v o s 103 Evaluación de Necesidades Tecnológicas – Mitigación                            ",True,unfccc,climate_tech_project,2017-11-17 14:56:38.838693,http://unfccc.int/ttclear/
"agriculture / forestry / land use, asia and the pacific, global climate, mongolia",Asia and the Pacific,Agriculture / Forestry / Land-use,http://unfccc.int/ttclear/gnwoerk_cms/TTF_TEI/attachments/file:MongoliaTAPA3.pdf,Mongolia, 2013,Technology Action Plan,Potato seed production system,"SECTION III Technology Action Plans 1.4 Action Plan for Potato seed production system 1.4.1 About PSPS Potatoes are Mongolia’s “second bread” in terms of the scale of production and food value. In the past two years, Mongolia could meet 100% of national demand for potatoes. Limited accessibility to high quality potato seed is a perennial problem amongst many growers and is partly attributable to inefficiencies in various links of the seed production system. Third prioritized technology is potato seed production system which aims to enable sustainability and reliability of high quality of potato varieties in the country. PSPS comprises components of development of varieties, producing mini tubers or elite seeds, multiplying seeds, and storage and delivery systems. Today, most mini tubers or elite seeds are imported from other countries. Some initial research and development of local varieties of potato which adapted to climate change has been conducted in research institutions of Mongolia. As a vegetative propagated crop, potato is highly vulnerable to a plethora of diseases that in turn drastically reduce the amount and quality of yields. In climate change scenarios more vectors and viral diseases are expected. Through technology transfer and diffusion, the research will be expanded to improve potato varieties which are resistant to diseases. Production of potato mini tubers or elite seed can be done using aeroponics which is a more efficient technique to breed seed potatoes. The technique has potential to eliminate all but one generation of seed potato multiplication in the field, thus lowering costs and raising the plant health quality of the first field production generation. Potato seed production system has three main steps: •	 Produce mini tubers using aeroponics (a crop environment including nutrients, temperature and moisture can be artificially created.) Produce potato seeds using mini tubers in greenhouses and at agriculture extension fields of aimags or seed producer’s fields Deliver healthy potato seeds to local markets and farmers. •	 •	 Producing potato mini tubers in aeroponics has high reproduction coefficient and requires less labour, time and financial resources than potato seed production in soil. The technology can improve the supply of good and healthy potato seeds and increase the potato production per area. Initial research on growing potato tubers in aeroponic systems with optimal conditions in air has being carried out by the Mongolian National Agriculture Research Institute under the “Mongolian Potato Program” in the first period from 2008-2012. Mongolia has become the fifth country in Asia to pilot this technology. The results were promising and proved in local contexts. The technology will improve sustainable supply of potato seed of adapted potato varieties which will be free of viral diseases. Establishment of local production systems would save labour, time and cost. Possible areas of research to improve productivity include optimizing nutrient solutions, plant density, number of harvests and harvesting intervals. Resources such as greenhouses and capacity building are required. 1.4.2 Target for PSPS In 2011, 14 600ha of land was plated with potatoes and the harvest was about 200 000 metric tons. From 2010, potato growers have met 100 % of local demand of potato. However,",True,unfccc,climate_tech_project,2017-11-17 14:56:38.838693,http://unfccc.int/ttclear/
"cuba, electricity generation, forestry, gasification, industry, international development, latin america and the caribbean, waste, wood fuel, woody biomass",Latin America and the Caribbean,Energy,http://unfccc.int/ttclear/gnwoerk_cms/TTF_tei/attachments/file:Cuba2.pdf,Cuba, 2013,Project Idea,Gasification of sawmill residuals,"Evaluación de Necesidades Tecnológicas – Mitigación                                                    Cuba Sherritt Utilities Inc. Es una compañía privada y una filial 100% de Sherritt International Coorporation.   Sherritt proporcionará el 100% del financiamiento y la especialización técnica para el proyecto.  Otro tipo de empresa mixta debería funcionar con similar esquema. 1 6 . 2 . ID EA DE PROY E C TO GA S IF ICAC IÓN D E R E S IDUO S DE A S ERRADERO S 1 6 . 2 . 1 . I n t r o d u c c i ó n y a n t e c e d e n t e s La industria del procesamiento de la madera es una actividad que por naturaleza produce significativas cantidades de residuos de biomasas. En el caso de Cuba se procesan más de  200 000 m3 de madera anualmente lo que se estima produce un volumen de residuos en el orden de los 90 000 m3.  Debido a que la capacidad productiva de estos aserraderos no permite la instalación de capacidades de generación eléctrica superiores a los 2 MW, se ha escogido como tecnología para su uso en la generación de electricidad, la gasificación de biomasa. 1 6 . 2 . 2 . O b j e t i v o s El objetivo de la idea de proyecto es fundamentar un programa inversionista dirigido al aprovechamiento de los residuos de los aserraderos del Grupo Empresarial de Agricultura de Montaña (GEAM) para la producción de electricidad instalando una capacidad de generación distribuida en el orden de los 20 MW en estas instalaciones industriales. Adicionalmente propiciara la realización de acciones demostrativas a nivel comercial de plantas de generación de electricidad. 1 6 . 2 . 3 . P r o d u c t o s y r e s u l t a d o s La industria de la madera cubana en el marco del GEAM cuenta con 78 aserraderos con una capacidad anual de producir 231 000 m3 de madera aserrada. El índice de aprovechamiento industrial de la madera como media se estima en un 50%, por lo que se producen significativos volúmenes de residuos agroindustriales cuya deposición final  hoy constituye en la mayoría de los casos un serio  problema ambiental con grandes riesgos de incendio y gastos de maquinaria, personal, combustibles adicionales en su disposición. Los principales resultados que se esperan son: d. La instalación de alrededor de 20 MW de potencia eléctrica, contribuyendo la venta de electricidad al sistema eléctrico nacional a la rentabilidad económica de la industria. e. Eliminación de los impactos ambientales negativos de los aserraderos de madera del GEAM por la deposición de",True,unfccc,climate_tech_project,2017-11-17 14:56:38.838693,http://unfccc.int/ttclear/
