,category,submitted_by,published,updated,proposal/needed,Resources to be saved or improved,Benefits,Technology type,Technical fields,Stage of development,Project summary
'Green' low cost energy wastewater treatment for onsite treatment of hospital waste,Pollution and Waste,WIPO GREEN Team,"October 06, 2015","October 06, 2015",needed,,,,Pollution & Waste > Waste treatment,,
"(In,Ga,Al)N Optoelectronic Devices with Thicker Active Layers for Improved Performance",Energy,"University of California, Santa Barbara (UC Santa Barbara)","December 02, 2015","December 02, 2015",proposal,,"1) Improved performance of existing devices which require a combination of layers with large lattice mismatch


2) Mitigation of defect formation in active layers


3) Increase the thickness of the active layers",,Energy > Solar,,
(KOTEC1) Multi-layer conical diffuser for advanced waste water treatment system,Pollution and Waste,KOTEC,"January 13, 2015","April 17, 2015",proposal,"Electricity, Water","No modification, no renovation of the overall water treatment system needed
By just adding waste water or sewage treatment system at the end of the current process, the efficiency and performance will be greatly improved.
- Hydraulic residence time is short.
- Facilities suitable for large capacity.
- Load Fluctuations are strong.
- 38 percent of cost reduction by this technology in compare with surface aerator.
This state of the art technology is being applied in STP and WWTP of South Korea attribute to tightening government regulation.","Process, Design, Material, System or software, Device or equipment, Facility",Pollution & Waste > Waste treatment,,"- Waste water and livestock excretions disposal plants (WWTP) in Paju, Boryeong ect.
ex) Paju LG-Philips Waste Water Disposal Plant (140.000 ton/day)
- Terminal Disposal Plant of Sewage(STP) in Incheon, Gunsan, Ilsan, Ulsan, Seoul, Gimpo
ex) Seoul Jungryang Terminal Disposal Plant of Sewage (1,130,000 ton/day)"
(KOTEC10) System for organic waste reduction and energy recovery,Pollution and Waste,KOTEC,"April 15, 2015","April 17, 2015",proposal,"Solid Fuel, Natural gas, Water","It is advantageous that the conservation of thermal energy can maintain the internal temperature without an effect from the change in the external temperature. Jet Aerator promotes active agitation by a strong whirlpool within the tank, and the special nozzles in Jet Aerator maximizes the contact area between the influent air and the fluid in the ATAD tank to enhance the efficiency of oxygen transfer. In addition, by generating fine bubbles with their contact area per size being large, it can increase the frequency of contact of fluids. In particular, in the case of Jet Aerator, it is an essential device in improving the rate of digestion of aerobic microbes to them air supply can be a key issue.  Unlike the previous air suppliers, which are configured to have a shape of straight line so that they may be much restrained from generating whirlpool, this technology is completely rounded as well as fan-shaped. So, the shape of nozzles are well prepared to generate whirlpool while energy consumption is low and the rate of air supply to aerobic microbes is enhanced. ",Device or equipment,"Energy > Waste to energy
Pollution & Waste > Waste treatment",Proven record of commercial use,"The facility for reducing sludge and converting it to energy in Harim Poultry Farm indicates that the technology of anaerobic digestion and ATAD has been applied and the contents of solids is 15% with the planned capacity for treatment and the planned production of biomass being  70ÃÂ£ÃÂÃÂ¥/day and 7684 NÃÂ£ÃÂÃÂ¥/day (with methane contents being 60%) respectively. In the case of organic wastes treatment plant in Jeonju, ATAD has been applied similarly, and the planned capacity for treatment is set to 100ÃÂ£ÃÂÃÂ¥/day."
(KOTEC11) Facilities for the reuse of water and wastewater and the phosphorous removal (Up-flow filtering device),Pollution and Waste,KOTEC,"April 15, 2015","April 17, 2015",proposal,"Electricity, Water","The upflow water treatment apparatus injects coagulant directly into the pipes, so that a mixing tank and a flocculation tank are not needed. In this respect, it is simpler than the existing water treatment apparatuses and can save the installation space. Also, retention time is no more than 10 minutes, so it is possible to treat water quickly. Moreover, the efficiency of SS and total phosphorus removal is relatively high and can decrease the cost for repair and maintenance greatly.

In terms of economic feasibility, the upflow water treatment apparatus by the technology requires about 92,778 thousand KRW per year including the costs of electricity, chemical agents and filter media supplement, etc. on the basis of 17 thousand tons of treated water per day. However, in the case of the existing disc-filtration apparatus, the cost of filter media supplements is so high that it requires about 231,823 thousand KRW per year. In the case of multi-layer filtration apparatus, about 146,340 thousand KRW is needed per year. Hence, it can be said that the upflow water treatment device by this technology is superior to those devices by the conventional technology in terms of economic feasibility.

In the environmental terms, the technology can reduce the consumption of chemical agents greatly, and the amount of backwash water is nothing but 3% of that of influent water (other technologies require about 5 %). Thus, the discharge of sludge is low as compared to the previous technologies, so it is advantageous in that it can reduce the overload on the environment.",Device or equipment,Pollution & Waste > Waste treatment,Proven record of commercial use,"A upflow water treatment apparatuses in the technology have been installed and in normal operation in the wastewater treatment plant in Keum-chon, Paju (with a capacity of 17,000 tons per day) and the wastewater treatment plant in Mun-san, Paju (with a capacity of 9,500 tons per day). If this technology is introduced, the efficiency of SS and total phosphorus removal is high (0.2 ppm for SS and 0.3 mg/L for total phosphorus) in the technological terms. So, it is appropriate to the standard of influent water, and it is unnecessary to stop operation for cleaning a filtration tank. Also, since it is possible to realize the completely automatic operation, it is advantageous in that the effective management of wastewater treatment facilities is possible. "
(KOTEC2) BIONAD Process: Simultaneous nitrification and denitrification of waste water,Pollution and Waste,KOTEC,"March 09, 2015","April 17, 2015",proposal,Water,"1. Small Tank Volumes
 -Needless to divide with anoxic tank and oxic tank
 -Independent of high loading rate(rapid response)
2. Low Operating Cost
 -Low DO conc.(DO below 0.2-0.6 mg/L)
 -No internal recycle
 -Reduce external Carbon source
3. Simple Upgrade
 -Upgrade is possible with only NADH Sensor
4. Easy Maintenance
 -Easy pH control(Recovery of alkalinity by denitrification)
5. Online Monitoring
 -Rapid system control and few manual adjustments
6. Increased Pollutional Load
 -High organic loading rate and short HRT",Device or equipment,Pollution & Waste > Waste treatment,Proven record of commercial use,"Ansan STP (385,000 m3 per day), etc."
(KOTEC3) DS-MBR Process: waste water treatment technology by intermittent returning and electrolysis phosphorous removal in a MBR process,Pollution and Waste,KOTEC,"March 09, 2015","April 17, 2015",proposal,Water,"- Removes phosphorous by developing maintenance and increase ferric ion productivity and energy consumption by supplying the final treated water from MBR
- Removes nitrogen by MBR returning from MBR separation tank and transfer tank at the same time of controlling aeration, deration time according to inlet water characteristics
- Sustains level of MLSS in final processed water discharge and whole system by implementing solid, liquid separation through utilizing the high cohesiveness
- The process transfer optimized MLSS to MBR separation tank and transfer tank consecutively according to the operational condition of only one pump unit is in operation,also the process of organic reaction is simple comparably
- The technology which treats contaminants effectively and stably by controlling aeration, non-aeration time of intermittent reaction tank according to inlet water characteristics and local discharge water standard","Process, Facility",Pollution & Waste > Waste treatment,Proven record of commercial use,Yeosu gyungdo golf and resort Waste Water Disposal Plant  (500 ton per day) etc.
(KOTEC4) The water level control apparatus of the aeration tank for the sewage and wastewater processing,Pollution and Waste,KOTEC,"March 09, 2015","April 17, 2015",proposal,Water,"- The level of water can be controlled automatically and optimized on the capacity of sewage treatment system without the visual confirmation of the administrator. 
- Economically advantageous compared to the automatic monitoring system.","Device or equipment, Facility",Pollution & Waste > Waste treatment,At usable level,
(KOTEC5) A phosphorus chemisorption system for the reject waste water,Pollution and Waste,KOTEC,"March 11, 2015","April 17, 2015",proposal,Water,"- Reduce the load and enhance the efficiency on the waste water treatment system
- Recycled phosphorus can be used as a fertilizer.",Device or equipment,Pollution & Waste > Waste treatment,At usable level,
(KOTEC6) Integrated Electrochemical System for Water and Wastewater Treatment,Pollution and Waste,KOTEC,"March 09, 2015","April 17, 2015",proposal,Water,"By eliminating diverse pollutants and pathogenic bacteria in water and wastewater, this technology is able to provide stable and sustainable water. It is possible to respond with various water quality requirements and water amount demands. The advantages of the integrated electrochemical system are as follows.
1. Can be applied to water, wastewater, and groundwater treatment
2. Maintenance friendly
3. Low energy consumption
4. Low capital and operating costs
5. No disinfection system requirements
6. Low wastewater productioin compared to ion exchange resins","Process, Device or equipment",Pollution & Waste > Waste treatment,At usable level,"The project ""Development of small-scale water treatment system using ion exchange membrane coupled with electrolysis""
- Removal of nitrate, E. coli, heavey metals, etc. from groundwater
- Pilot scale electrolysis-ion exchange membrane system (2ton per day) in Konkuk University"
